,asset,date,unique_users
0,BTC,2021-12-19,10
1,BTC,2021-12-20,25
2,BTC,2021-12-21,36
3,BTC,2021-12-22,23
4,BTC,2021-12-23,18
5,BTC,2021-12-24,21
6,BTC,2021-12-25,13
7,BTC,2021-12-26,10
8,BTC,2021-12-27,34
9,BTC,2021-12-28,22
10,BTC,2021-12-29,36
11,BTC,2021-12-30,38
12,BTC,2021-12-31,67
13,BTC,2022-01-01,18
14,BTC,2022-01-02,20
15,BTC,2022-01-03,25
16,BTC,2022-01-04,17
17,BTC,2022-01-05,17
18,BTC,2022-01-06,7
19,ETH,2021-12-21,2
20,ETH,2021-12-22,1
21,ETH,2021-12-23,1
22,ETH,2021-12-24,12
23,ETH,2021-12-25,6
24,ETH,2021-12-26,14
25,ETH,2021-12-27,23
26,ETH,2021-12-28,16
27,ETH,2021-12-29,17
28,ETH,2021-12-30,18
29,ETH,2021-12-31,20
30,ETH,2022-01-01,22
31,ETH,2022-01-02,11
32,ETH,2022-01-03,27
33,ETH,2022-01-04,16
34,ETH,2022-01-05,9
35,ETH,2022-01-06,10
36,FTT,2021-12-24,19
37,FTT,2021-12-25,20
38,FTT,2021-12-26,13
39,FTT,2021-12-27,13
40,FTT,2021-12-28,11
41,FTT,2021-12-29,9
42,FTT,2021-12-30,16
43,FTT,2021-12-31,46
44,FTT,2022-01-01,29
45,FTT,2022-01-02,24
46,FTT,2022-01-03,34
47,FTT,2022-01-04,33
48,FTT,2022-01-05,22
49,FTT,2022-01-06,9
50,LUNA,2021-12-30,43
51,LUNA,2021-12-31,13
52,LUNA,2022-01-01,2
53,LUNA,2022-01-02,11
54,LUNA,2022-01-03,56
55,LUNA,2022-01-04,35
56,LUNA,2022-01-05,48
57,LUNA,2022-01-06,47
58,MNGO,2021-12-25,27
59,MNGO,2021-12-26,18
60,MNGO,2021-12-27,19
61,MNGO,2021-12-28,14
62,MNGO,2021-12-29,12
63,MNGO,2021-12-30,22
64,MNGO,2021-12-31,27
65,MNGO,2022-01-01,18
66,MNGO,2022-01-02,6
67,MNGO,2022-01-03,8
68,MNGO,2022-01-05,4
69,SBR,2021-12-30,214
70,SBR,2021-12-31,8
71,SBR,2022-01-01,3
72,SBR,2022-01-02,2
73,SBR,2022-01-03,2
74,SBR,2022-01-04,2
75,SBR,2022-01-05,1
76,SOL,2021-12-17,4
77,SOL,2021-12-18,14
78,SOL,2021-12-19,56
79,SOL,2021-12-20,267
80,SOL,2021-12-21,336
81,SOL,2021-12-22,189
82,SOL,2021-12-23,164
83,SOL,2021-12-24,112
84,SOL,2021-12-25,78
85,SOL,2021-12-26,95
86,SOL,2021-12-27,238
87,SOL,2021-12-28,42
88,SOL,2021-12-29,6
89,SOL,2021-12-30,5
90,SOL,2021-12-31,96
91,SOL,2022-01-01,27
92,SOL,2022-01-02,24
93,SOL,2022-01-03,216
94,SOL,2022-01-04,162
95,SOL,2022-01-05,113
96,SOL,2022-01-06,70
97,SRM,2021-12-24,21
98,SRM,2021-12-25,17
99,SRM,2021-12-26,22
100,SRM,2021-12-27,18
101,SRM,2021-12-28,19
102,SRM,2021-12-29,22
103,SRM,2021-12-30,38
104,SRM,2021-12-31,26
105,SRM,2022-01-01,23
106,SRM,2022-01-02,18
107,SRM,2022-01-03,25
108,SRM,2022-01-04,23
109,SRM,2022-01-05,24
110,SRM,2022-01-06,5
111,mSOL,2021-12-21,113
112,mSOL,2021-12-22,129
113,mSOL,2021-12-23,68
114,mSOL,2021-12-24,94
115,mSOL,2021-12-25,102
116,mSOL,2021-12-26,65
117,mSOL,2021-12-27,9
118,mSOL,2021-12-28,11
119,mSOL,2021-12-29,2
120,mSOL,2021-12-30,2
121,mSOL,2021-12-31,44
122,mSOL,2022-01-01,7
123,mSOL,2022-01-02,30
124,mSOL,2022-01-03,161
125,mSOL,2022-01-04,4
126,mSOL,2022-01-05,86
127,mSOL,2022-01-06,50
128,scnSOL,2021-12-29,81
129,scnSOL,2021-12-30,173
130,scnSOL,2021-12-31,2
131,scnSOL,2022-01-02,3
132,scnSOL,2022-01-03,3
133,scnSOL,2022-01-04,3
134,scnSOL,2022-01-05,6
135,scnSOL,2022-01-06,2
